C;epsilon;gamma;sv_count;MAE;omega;;;;;C;epsilon;gamma;sv_count;MAE;omega
2;0,214;1;12;0,059514293;0,5;;;;;;;;;;
2;0,214;1,5;9;0,062451585;0,5;;;;;;;;;;
2;0,214;3;10;0,057144726;0,5;;;;;;;;;;
2;0,214;10;17;0,0730716;0,5;;;;;;;;;;
2;0,25;0,1;56;0,168895397;0,5;;;;;;;;;;
2;0,25;0,7;8;0,074316093;0,5;;;;;;;;;;
2;0,25;1;8;0,076400108;0,5;;;;;;;;;;
2;0,25;1,5;6;0,076692411;0,5;;;;;;;;;;
2;0,25;3;10;0,076790276;0,5;;;;;;;;;;
2;0,25;10;16;0,096626929;0,5;;;;;;;;;;
5;0,07;0,1;152;0,151453255;0,5;;;;;;;;;;
5;0,07;0,7;97;0,026866682;0,5;;;;;;;;;;
5;0,07;1;96;0,026040634;0,5;;;;;;;;;;
5;0,07;1,5;98;0,027621127;0,5;;;;;;;;;;
5;0,07;3;107;0,032710984;0,5;;;;;;;;;;
5;0,07;10;115;0,0399369;0,5;;;;;;;;;;
5;0,106;0,1;120;0,150863067;0,5;;;;;;;;;;
5;0,106;0,7;56;0,025368004;0,5;;;;;;;;;;
5;0,106;1;56;0,025901471;0,5;;;;;;;;;;
5;0,106;1,5;59;0,026555112;0,5;;;;;;;;;;
5;0,106;3;63;0,031400771;0,5;;;;;;;;;;
5;0,106;10;70;0,043060769;0,5;;;;;;;;;;
5;0,142;0,1;100;0,152601984;0,5;;;;;;;;;;
5;0,142;0,7;31;0,022835607;0,5;;;;;;;;;;
5;0,142;1;32;0,025193994;0,5;;;;;;;;;;
5;0,142;1,5;35;0,028374246;0,5;;;;;;;;;;
5;0,142;3;38;0,037887324;0,5;;;;;;;;;;
5;0,142;10;38;0,040134826;0,5;;;;;;;;;;
5;0,178;0,1;86;0,1520747;0,5;;;;;;;;;;
5;0,178;0,7;20;0,036641296;0,5;;;;;;;;;;
5;0,178;1;18;0,037011024;0,5;;;;;;;;;;
5;0,178;1,5;18;0,040299239;0,5;;;;;;;;;;
5;0,178;3;22;0,04706875;0,5;;;;;;;;;;
5;0,178;10;26;0,051428845;0,5;;;;;;;;;;
5;0,214;0,1;69;0,16088848;0,5;;;;;;;;;;
5;0,214;0,7;12;0,061938601;0,5;;;;;;;;;;
5;0,214;1;12;0,059514293;0,5;;;;;;;;;;
5;0,214;1,5;9;0,062451585;0,5;;;;;;;;;;
5;0,214;3;10;0,057144726;0,5;;;;;;;;;;
5;0,214;10;17;0,0730716;0,5;;;;;;;;;;
5;0,25;0,1;56;0,170722607;0,5;;;;;;;;;;
5;0,25;0,7;8;0,074316093;0,5;;;;;;;;;;
5;0,25;1;8;0,076400108;0,5;;;;;;;;;;
5;0,25;1,5;6;0,076692411;0,5;;;;;;;;;;
5;0,25;3;10;0,076790276;0,5;;;;;;;;;;
5;0,25;10;16;0,096626929;0,5;;;;;;;;;;
7;0,07;0,1;155;0,150613521;0,5;;;;;;;;;;
7;0,07;0,7;100;0,027279226;0,5;;;;;;;;;;
7;0,07;1;98;0,027405964;0,5;;;;;;;;;;
7;0,07;1,5;103;0,028646418;0,5;;;;;;;;;;
7;0,07;3;111;0,031690531;0,5;;;;;;;;;;
7;0,07;10;113;0,03888319;0,5;;;;;;;;;;
7;0,106;0,1;119;0,150823069;0,5;;;;;;;;;;
7;0,106;0,7;57;0,024790319;0,5;;;;;;;;;;
7;0,106;1;57;0,025818116;0,5;;;;;;;;;;
7;0,106;1,5;59;0,026973422;0,5;;;;;;;;;;
7;0,106;3;60;0,031646159;0,5;;;;;;;;;;
7;0,106;10;71;0,043377677;0,5;;;;;;;;;;
7;0,142;0,1;104;0,152476997;0,5;;;;;;;;;;
7;0,142;0,7;32;0,023117783;0,5;;;;;;;;;;
7;0,142;1;33;0,028384358;0,5;;;;;;;;;;
7;0,142;1,5;38;0,029142938;0,5;;;;;;;;;;
7;0,142;3;39;0,03670575;0,5;;;;;;;;;;
7;0,142;10;39;0,039641389;0,5;;;;;;;;;;
7;0,178;0,1;82;0,152975357;0,5;;;;;;;;;;
7;0,178;0,7;20;0,036026351;0,5;;;;;;;;;;
7;0,178;1;18;0,036326081;0,5;;;;;;;;;;
7;0,178;1,5;18;0,038976095;0,5;;;;;;;;;;
7;0,178;3;21;0,046487871;0,5;;;;;;;;;;
7;0,178;10;26;0,051583102;0,5;;;;;;;;;;
7;0,214;0,1;68;0,155820511;0,5;;;;;;;;;;
7;0,214;0,7;12;0,061938601;0,5;;;;;;;;;;
7;0,214;1;12;0,059514293;0,5;;;;;;;;;;
7;0,214;1,5;9;0,062451585;0,5;;;;;;;;;;
7;0,214;3;10;0,057144726;0,5;;;;;;;;;;
7;0,214;10;17;0,0730716;0,5;;;;;;;;;;
7;0,25;0,1;56;0,165785819;0,5;;;;;;;;;;
7;0,25;0,7;8;0,074316093;0,5;;;;;;;;;;
7;0,25;1;8;0,076400108;0,5;;;;;;;;;;
7;0,25;1,5;6;0,076692411;0,5;;;;;;;;;;
7;0,25;3;10;0,076790276;0,5;;;;;;;;;;
7;0,25;10;16;0,096626929;0,5;;;;;;;;;;
