C,epsilon,gamma,sv_count,MAE,omega
0.1,0.07,0.1,4,0.16165620965480396,1.9
0.1,0.07,0.7,11,0.05551606003549714,1.9
0.1,0.07,1.0,16,0.04173941589367827,1.9
0.1,0.07,1.5,15,0.039659389145814156,1.9
0.1,0.07,3.0,16,0.03851850361570818,1.9
0.1,0.07,10.0,30,0.03791708269300964,1.9
0.1,0.10600000000000001,0.1,5,0.16105368481567756,1.9
0.1,0.10600000000000001,0.7,11,0.06275636568307714,1.9
0.1,0.10600000000000001,1.0,10,0.04908267359638145,1.9
0.1,0.10600000000000001,1.5,13,0.041658977769295176,1.9
0.1,0.10600000000000001,3.0,17,0.03965415679626992,1.9
0.1,0.10600000000000001,10.0,28,0.045005007196104146,1.9
0.1,0.14200000000000002,0.1,6,0.16125476280323156,1.9
0.1,0.14200000000000002,0.7,10,0.07144536423015993,1.9
0.1,0.14200000000000002,1.0,10,0.054952393515276955,1.9
0.1,0.14200000000000002,1.5,13,0.047347276399596655,1.9
0.1,0.14200000000000002,3.0,17,0.04626900957854294,1.9
0.1,0.14200000000000002,10.0,24,0.05244078306684605,1.9
0.1,0.178,0.1,4,0.1633127487829797,1.9
0.1,0.178,0.7,7,0.08176131789584225,1.9
0.1,0.178,1.0,12,0.06966454515930724,1.9
0.1,0.178,1.5,12,0.0665623641195905,1.9
0.1,0.178,3.0,11,0.0647685850784203,1.9
0.1,0.178,10.0,20,0.06753302895828563,1.9
0.1,0.214,0.1,2,0.16838591416508225,1.9
0.1,0.214,0.7,8,0.09646240784732911,1.9
0.1,0.214,1.0,8,0.08921606601917073,1.9
0.1,0.214,1.5,4,0.08418718147532296,1.9
0.1,0.214,3.0,8,0.08147431494663866,1.9
0.1,0.214,10.0,17,0.09304318080551635,1.9
0.1,0.25,0.1,4,0.16745603860666147,1.9
0.1,0.25,0.7,6,0.11037428267521619,1.9
0.1,0.25,1.0,4,0.10479372362748533,1.9
0.1,0.25,1.5,6,0.09820372956568044,1.9
0.1,0.25,3.0,7,0.10135595278006142,1.9
0.1,0.25,10.0,15,0.12042083192974629,1.9
1.0,0.07,0.1,6,0.15452829661131065,1.9
1.0,0.07,0.7,16,0.029182306421600933,1.9
1.0,0.07,1.0,18,0.026936618876196364,1.9
1.0,0.07,1.5,19,0.027578358974802823,1.9
1.0,0.07,3.0,25,0.03068646566254892,1.9
1.0,0.07,10.0,43,0.035600544646193354,1.9
1.0,0.10600000000000001,0.1,7,0.15391413380264385,1.9
1.0,0.10600000000000001,0.7,16,0.029762220064075664,1.9
1.0,0.10600000000000001,1.0,16,0.027468469927925464,1.9
1.0,0.10600000000000001,1.5,19,0.027961260150637834,1.9
1.0,0.10600000000000001,3.0,26,0.026647383970205957,1.9
1.0,0.10600000000000001,10.0,39,0.03636094215961236,1.9
1.0,0.14200000000000002,0.1,8,0.1531091046926459,1.9
1.0,0.14200000000000002,0.7,11,0.02938065419425045,1.9
1.0,0.14200000000000002,1.0,16,0.028620519230569724,1.9
1.0,0.14200000000000002,1.5,16,0.02700805934568762,1.9
1.0,0.14200000000000002,3.0,21,0.03489111520533318,1.9
1.0,0.14200000000000002,10.0,26,0.03710766440253144,1.9
1.0,0.178,0.1,6,0.15780858199083025,1.9
1.0,0.178,0.7,10,0.04291429212175053,1.9
1.0,0.178,1.0,13,0.04236999699941592,1.9
