C,epsilon,gamma,sv_count,MAE,omega
0.1,0.07,0.1,5,0.16172541521994913,1.0
0.1,0.07,0.7,11,0.05533718176027086,1.0
0.1,0.07,1.0,16,0.04175618325419797,1.0
0.1,0.07,1.5,15,0.03939001961654118,1.0
0.1,0.07,3.0,18,0.03888683541601689,1.0
0.1,0.07,10.0,32,0.03789765220429108,1.0
0.1,0.10600000000000001,0.1,8,0.16104401443797137,1.0
0.1,0.10600000000000001,0.7,11,0.06280101442942224,1.0
0.1,0.10600000000000001,1.0,11,0.048176191128164715,1.0
0.1,0.10600000000000001,1.5,12,0.041529458529158444,1.0
0.1,0.10600000000000001,3.0,18,0.03995175563935513,1.0
0.1,0.10600000000000001,10.0,28,0.04497501374148766,1.0
0.1,0.14200000000000002,0.1,6,0.1612254796358853,1.0
0.1,0.14200000000000002,0.7,10,0.07136080754656007,1.0
0.1,0.14200000000000002,1.0,10,0.054981594431250926,1.0
0.1,0.14200000000000002,1.5,12,0.04715074007508875,1.0
0.1,0.14200000000000002,3.0,17,0.046161462252295477,1.0
0.1,0.14200000000000002,10.0,25,0.052511725746111626,1.0
0.1,0.178,0.1,6,0.16325614512345438,1.0
0.1,0.178,0.7,7,0.08180185559561373,1.0
0.1,0.178,1.0,12,0.06951480581278839,1.0
0.1,0.178,1.5,11,0.0667111198534129,1.0
0.1,0.178,3.0,11,0.06499503862280528,1.0
0.1,0.178,10.0,20,0.06763479436813313,1.0
0.1,0.214,0.1,2,0.1684030313616075,1.0
0.1,0.214,0.7,9,0.09648878217722612,1.0
0.1,0.214,1.0,7,0.08902233919256362,1.0
0.1,0.214,1.5,4,0.08460403801906004,1.0
0.1,0.214,3.0,8,0.08184743553615034,1.0
0.1,0.214,10.0,19,0.09256498975576279,1.0
0.1,0.25,0.1,4,0.1674325230129572,1.0
0.1,0.25,0.7,6,0.1108019847703974,1.0
0.1,0.25,1.0,4,0.10471080536007076,1.0
0.1,0.25,1.5,6,0.09862564437704201,1.0
0.1,0.25,3.0,7,0.10175648214183813,1.0
0.1,0.25,10.0,14,0.12008749275491967,1.0
