C,epsilon,gamma,sv_count,MAE,omega
0.1,0.07,0.1,7,0.16182056187479724,0.5
0.1,0.07,0.7,13,0.0554404793305674,0.5
0.1,0.07,1.0,15,0.04192385099769266,0.5
0.1,0.07,1.5,17,0.03997420228530786,0.5
0.1,0.07,3.0,20,0.038883157018718605,0.5
0.1,0.07,10.0,31,0.03760387264987919,0.5
0.1,0.10600000000000001,0.1,10,0.16101669133032992,0.5
0.1,0.10600000000000001,0.7,12,0.06265392967365434,0.5
0.1,0.10600000000000001,1.0,14,0.04815696291445902,0.5
0.1,0.10600000000000001,1.5,14,0.04171388464387158,0.5
0.1,0.10600000000000001,3.0,18,0.039920502726202456,0.5
0.1,0.10600000000000001,10.0,28,0.044792342339962855,0.5
0.1,0.14200000000000002,0.1,7,0.161407471461795,0.5
0.1,0.14200000000000002,0.7,11,0.07169905643946929,0.5
0.1,0.14200000000000002,1.0,11,0.05527021444254128,0.5
0.1,0.14200000000000002,1.5,16,0.04735929524219417,0.5
0.1,0.14200000000000002,3.0,19,0.04615018528150342,0.5
0.1,0.14200000000000002,10.0,26,0.05246084242719553,0.5
0.1,0.178,0.1,7,0.1633524439676706,0.5
0.1,0.178,0.7,8,0.08189135247540039,0.5
0.1,0.178,1.0,15,0.06956064579878955,0.5
0.1,0.178,1.5,13,0.06688935890064265,0.5
0.1,0.178,3.0,11,0.06497535191129275,0.5
0.1,0.178,10.0,24,0.06781348404401498,0.5
0.1,0.214,0.1,2,0.1684826019581749,0.5
0.1,0.214,0.7,8,0.09721478776487207,0.5
0.1,0.214,1.0,10,0.08951802123102687,0.5
0.1,0.214,1.5,4,0.08467541201923914,0.5
0.1,0.214,3.0,8,0.08148182768087096,0.5
0.1,0.214,10.0,21,0.09262771684970933,0.5
0.1,0.25,0.1,4,0.1672126974426649,0.5
0.1,0.25,0.7,6,0.11142802025250782,0.5
0.1,0.25,1.0,4,0.10478527374490039,0.5
0.1,0.25,1.5,6,0.09842981640050315,0.5
0.1,0.25,3.0,7,0.10158557842927124,0.5
0.1,0.25,10.0,15,0.11971390503985802,0.5
1.0,0.07,0.1,8,0.15482738528701642,0.5
1.0,0.07,0.7,18,0.02986133456521058,0.5
1.0,0.07,1.0,21,0.027261577358135936,0.5
1.0,0.07,1.5,21,0.027410615219522594,0.5
1.0,0.07,3.0,28,0.030957735563324672,0.5
1.0,0.07,10.0,46,0.03628885361777844,0.5
1.0,0.10600000000000001,0.1,10,0.1536928577002962,0.5
1.0,0.10600000000000001,0.7,19,0.029087500800854177,0.5
1.0,0.10600000000000001,1.0,21,0.026416018833804452,0.5
1.0,0.10600000000000001,1.5,19,0.028475482951878062,0.5
1.0,0.10600000000000001,3.0,27,0.026479221360508277,0.5
1.0,0.10600000000000001,10.0,41,0.036191933204046324,0.5
1.0,0.14200000000000002,0.1,7,0.15323192351628706,0.5
1.0,0.14200000000000002,0.7,13,0.02950963993305389,0.5
1.0,0.14200000000000002,1.0,17,0.028476515967048244,0.5
1.0,0.14200000000000002,1.5,16,0.027415744690079683,0.5
1.0,0.14200000000000002,3.0,22,0.034894733409092646,0.5
1.0,0.14200000000000002,10.0,26,0.03690497575859356,0.5
1.0,0.178,0.1,6,0.1579152699671742,0.5
1.0,0.178,0.7,11,0.04340242188706461,0.5
1.0,0.178,1.0,16,0.041904358773757346,0.5
1.0,0.178,1.5,16,0.04212966353491661,0.5
1.0,0.178,3.0,18,0.04735503761341761,0.5
1.0,0.178,10.0,23,0.050563334781145185,0.5
1.0,0.214,0.1,6,0.16463847265999645,0.5
1.0,0.214,0.7,9,0.06399145499442997,0.5
1.0,0.214,1.0,12,0.05951429346562449,0.5
1.0,0.214,1.5,9,0.06245158539039771,0.5
1.0,0.214,3.0,10,0.057144726493039075,0.5
1.0,0.214,10.0,17,0.07307160021578897,0.5
1.0,0.25,0.1,11,0.1663456032985546,0.5
1.0,0.25,0.7,7,0.07577964663368968,0.5
1.0,0.25,1.0,8,0.07640010781176118,0.5
1.0,0.25,1.5,6,0.07669241060138614,0.5
1.0,0.25,3.0,10,0.07679027625795133,0.5
1.0,0.25,10.0,16,0.09662692923378646,0.5
2.0,0.07,0.1,9,0.15384146035212162,0.5
2.0,0.07,0.7,20,0.029741281920469924,0.5
2.0,0.07,1.0,20,0.027036492633382817,0.5
2.0,0.07,1.5,21,0.027729716859212904,0.5
2.0,0.07,3.0,31,0.03172169718327748,0.5
2.0,0.07,10.0,48,0.03765506698612598,0.5
2.0,0.10600000000000001,0.1,11,0.1521993537320972,0.5
2.0,0.10600000000000001,0.7,20,0.02616227442278924,0.5
