C,epsilon,gamma,sv_count,MAE,omega
0.1,0.07,0.1,139,0.16165620965480396,1.9
0.1,0.07,0.7,115,0.05551606003549714,1.9
0.1,0.07,1.0,108,0.04173941589367827,1.9
0.1,0.07,1.5,104,0.039659389145814156,1.9
0.1,0.07,3.0,101,0.03851850361570818,1.9
0.1,0.07,10.0,109,0.03791708269300964,1.9
0.1,0.10600000000000001,0.1,111,0.16105368481567756,1.9
0.1,0.10600000000000001,0.7,78,0.06275636568307714,1.9
0.1,0.10600000000000001,1.0,66,0.04908267359638145,1.9
0.1,0.10600000000000001,1.5,65,0.041658977769295176,1.9
0.1,0.10600000000000001,3.0,66,0.03965415679626992,1.9
0.1,0.10600000000000001,10.0,74,0.045005007196104146,1.9
0.1,0.14200000000000002,0.1,90,0.16125476280323156,1.9
0.1,0.14200000000000002,0.7,54,0.07144536423015993,1.9
0.1,0.14200000000000002,1.0,44,0.054952393515276955,1.9
0.1,0.14200000000000002,1.5,40,0.047347276399596655,1.9
0.1,0.14200000000000002,3.0,41,0.04626900957854294,1.9
0.1,0.14200000000000002,10.0,50,0.05244078306684605,1.9
0.1,0.178,0.1,70,0.1633127487829797,1.9
0.1,0.178,0.7,39,0.08176131789584225,1.9
0.1,0.178,1.0,32,0.06966454515930724,1.9
0.1,0.178,1.5,28,0.0665623641195905,1.9
0.1,0.178,3.0,26,0.0647685850784203,1.9
0.1,0.178,10.0,37,0.06753302895828563,1.9
0.1,0.214,0.1,59,0.16838591416508225,1.9
0.1,0.214,0.7,32,0.09646240784732911,1.9
0.1,0.214,1.0,24,0.08921606601917073,1.9
0.1,0.214,1.5,18,0.08418718147532296,1.9
0.1,0.214,3.0,21,0.08147431494663866,1.9
0.1,0.214,10.0,31,0.09304318080551635,1.9
0.1,0.25,0.1,51,0.16745603860666147,1.9
0.1,0.25,0.7,21,0.11037428267521619,1.9
0.1,0.25,1.0,17,0.10479372362748533,1.9
0.1,0.25,1.5,17,0.09820372956568044,1.9
0.1,0.25,3.0,18,0.10135595278006142,1.9
0.1,0.25,10.0,28,0.12042083192974629,1.9
1.0,0.07,0.1,147,0.15452829661131065,1.9
1.0,0.07,0.7,94,0.029182306421600933,1.9
1.0,0.07,1.0,95,0.026936618876196364,1.9
1.0,0.07,1.5,97,0.027578358974802823,1.9
1.0,0.07,3.0,100,0.03068646566254892,1.9
1.0,0.07,10.0,114,0.035600544646193354,1.9
1.0,0.10600000000000001,0.1,116,0.15391413380264385,1.9
1.0,0.10600000000000001,0.7,55,0.029762220064075664,1.9
1.0,0.10600000000000001,1.0,56,0.027468469927925464,1.9
1.0,0.10600000000000001,1.5,56,0.027961260150637834,1.9
1.0,0.10600000000000001,3.0,59,0.026647383970205957,1.9
1.0,0.10600000000000001,10.0,63,0.03636094215961236,1.9
1.0,0.14200000000000002,0.1,96,0.1531091046926459,1.9
1.0,0.14200000000000002,0.7,30,0.02938065419425045,1.9
1.0,0.14200000000000002,1.0,31,0.028620519230569724,1.9
1.0,0.14200000000000002,1.5,32,0.02700805934568762,1.9
1.0,0.14200000000000002,3.0,38,0.03489111520533318,1.9
1.0,0.14200000000000002,10.0,32,0.03710766440253144,1.9
1.0,0.178,0.1,77,0.15780858199083025,1.9
1.0,0.178,0.7,18,0.04291429212175053,1.9
1.0,0.178,1.0,19,0.04236999699941592,1.9
1.0,0.178,1.5,19,0.04192838155922392,1.9
1.0,0.178,3.0,23,0.0475112133053461,1.9
1.0,0.178,10.0,25,0.051187448940650485,1.9
1.0,0.214,0.1,70,0.1647133787250798,1.9
1.0,0.214,0.7,12,0.0636532035218641,1.9
1.0,0.214,1.0,12,0.06006468736931101,1.9
1.0,0.214,1.5,9,0.06246761213626014,1.9
1.0,0.214,3.0,10,0.05663686922318007,1.9
1.0,0.214,10.0,17,0.07348198372186097,1.9
1.0,0.25,0.1,56,0.16643184965929197,1.9
1.0,0.25,0.7,8,0.07547326050205051,1.9
1.0,0.25,1.0,8,0.0760692422202681,1.9
1.0,0.25,1.5,6,0.07647204526183787,1.9
1.0,0.25,3.0,9,0.07677236773741009,1.9
1.0,0.25,10.0,16,0.09613349796804023,1.9
2.0,0.07,0.1,148,0.15330728890670745,1.9
2.0,0.07,0.7,94,0.027267291345940817,1.9
2.0,0.07,1.0,92,0.027823271637492906,1.9
2.0,0.07,1.5,101,0.026289262101311356,1.9
2.0,0.07,3.0,104,0.03017863167737514,1.9
2.0,0.07,10.0,108,0.035974003008888464,1.9
2.0,0.10600000000000001,0.1,117,0.15211053016671894,1.9
2.0,0.10600000000000001,0.7,55,0.026731982944598966,1.9
2.0,0.10600000000000001,1.0,54,0.026291905057028674,1.9
2.0,0.10600000000000001,1.5,59,0.026176521925772484,1.9
2.0,0.10600000000000001,3.0,60,0.02779207102516595,1.9
2.0,0.10600000000000001,10.0,69,0.038166964971790396,1.9
2.0,0.14200000000000002,0.1,96,0.15097544114019543,1.9
2.0,0.14200000000000002,0.7,31,0.026474458808134836,1.9
2.0,0.14200000000000002,1.0,31,0.022821695867168788,1.9
2.0,0.14200000000000002,1.5,35,0.026691669870355123,1.9
2.0,0.14200000000000002,3.0,38,0.03884389716235852,1.9
2.0,0.14200000000000002,10.0,33,0.0397549902036797,1.9
2.0,0.178,0.1,82,0.15473664024543501,1.9
2.0,0.178,0.7,19,0.0389274618359168,1.9
2.0,0.178,1.0,18,0.038733124691722284,1.9
2.0,0.178,1.5,18,0.04088384593322971,1.9
2.0,0.178,3.0,21,0.045970030200339906,1.9
2.0,0.178,10.0,26,0.051333574018437966,1.9
2.0,0.214,0.1,65,0.16387966968797102,1.9
2.0,0.214,0.7,13,0.06222840128350594,1.9
2.0,0.214,1.0,12,0.060011121380474236,1.9
2.0,0.214,1.5,9,0.062065234705461575,1.9
2.0,0.214,3.0,10,0.056601457510583764,1.9
2.0,0.214,10.0,17,0.0734026877257937,1.9
2.0,0.25,0.1,57,0.16860773167087537,1.9
2.0,0.25,0.7,8,0.07405446996046784,1.9
2.0,0.25,1.0,8,0.07617263163433424,1.9
2.0,0.25,1.5,6,0.07645917835277637,1.9
2.0,0.25,3.0,9,0.07677236773741009,1.9
2.0,0.25,10.0,16,0.09613349796804023,1.9
5.0,0.07,0.1,169,0.17064735303328937,1.9
5.0,0.07,0.7,130,0.024965667082719297,1.9
5.0,0.07,1.0,138,0.026339699522869346,1.9
5.0,0.07,1.5,138,0.023705387784842057,1.9
5.0,0.07,3.0,146,0.03327931123795262,1.9
5.0,0.07,10.0,146,0.05001532588173597,1.9
5.0,0.10600000000000001,0.1,147,0.15178958950100652,1.9
5.0,0.10600000000000001,0.7,57,0.024901902909403813,1.9
5.0,0.10600000000000001,1.0,54,0.024920459717582454,1.9
5.0,0.10600000000000001,1.5,58,0.032649290017937115,1.9
5.0,0.10600000000000001,3.0,56,0.03336396979947147,1.9
5.0,0.10600000000000001,10.0,63,0.041901419387469774,1.9
5.0,0.14200000000000002,0.1,114,0.15700741108041688,1.9
5.0,0.14200000000000002,0.7,30,0.022905804299383572,1.9
5.0,0.14200000000000002,1.0,32,0.02593802159238548,1.9
5.0,0.14200000000000002,1.5,35,0.028457739487341104,1.9
5.0,0.14200000000000002,3.0,39,0.03948378656916498,1.9
5.0,0.14200000000000002,10.0,38,0.04064231871186163,1.9
5.0,0.178,0.1,82,0.15324339554334368,1.9
5.0,0.178,0.7,19,0.037049034021704175,1.9
5.0,0.178,1.0,18,0.035974211958357656,1.9
5.0,0.178,1.5,18,0.03929296469591862,1.9
5.0,0.178,3.0,23,0.04649707059946654,1.9
5.0,0.178,10.0,26,0.051328001590701645,1.9
5.0,0.214,0.1,69,0.1603605454743562,1.9
5.0,0.214,0.7,11,0.06021033152189638,1.9
5.0,0.214,1.0,12,0.06001233191203545,1.9
5.0,0.214,1.5,9,0.06246344896585986,1.9
5.0,0.214,3.0,10,0.05662962490368381,1.9
5.0,0.214,10.0,17,0.0734026877257937,1.9
5.0,0.25,0.1,57,0.16897667730717006,1.9
5.0,0.25,0.7,8,0.07405446996046784,1.9
5.0,0.25,1.0,8,0.07617263163433424,1.9
5.0,0.25,1.5,6,0.07645917835277637,1.9
5.0,0.25,3.0,9,0.07677236773741009,1.9
5.0,0.25,10.0,16,0.09613349796804023,1.9
7.0,0.07,0.1,163,0.18081645924339512,1.9
7.0,0.07,0.7,83,0.03804655416552854,1.9
7.0,0.07,1.0,81,0.05960500247947282,1.9
7.0,0.07,1.5,81,0.04530449000105884,1.9
7.0,0.07,3.0,98,0.0632036626385661,1.9
7.0,0.07,10.0,95,0.07060496782892761,1.9
7.0,0.10600000000000001,0.1,143,0.15088197998192887,1.9
7.0,0.10600000000000001,0.7,74,0.02445679813829785,1.9
7.0,0.10600000000000001,1.0,71,0.02691490848235296,1.9
7.0,0.10600000000000001,1.5,74,0.0280165929689865,1.9
7.0,0.10600000000000001,3.0,88,0.031151670375490773,1.9
7.0,0.10600000000000001,10.0,88,0.04293521217066438,1.9
7.0,0.14200000000000002,0.1,97,0.15229951757977833,1.9
7.0,0.14200000000000002,0.7,30,0.023301066932274992,1.9
7.0,0.14200000000000002,1.0,33,0.025994978982381168,1.9
7.0,0.14200000000000002,1.5,37,0.02892190264098885,1.9
7.0,0.14200000000000002,3.0,36,0.03824289855144581,1.9
7.0,0.14200000000000002,10.0,37,0.03994235554377307,1.9
7.0,0.178,0.1,89,0.15504603824845312,1.9
7.0,0.178,0.7,19,0.036840602363355845,1.9
7.0,0.178,1.0,18,0.03541319395389165,1.9
7.0,0.178,1.5,18,0.037629832983904016,1.9
7.0,0.178,3.0,21,0.04621482951712957,1.9
7.0,0.178,10.0,25,0.05176290563711733,1.9
7.0,0.214,0.1,74,0.15846729253020378,1.9
7.0,0.214,0.7,11,0.061045983521971714,1.9
7.0,0.214,1.0,12,0.06001444068602586,1.9
7.0,0.214,1.5,9,0.06246344896585986,1.9
7.0,0.214,3.0,10,0.05662962490368381,1.9
7.0,0.214,10.0,17,0.0734026877257937,1.9
7.0,0.25,0.1,55,0.16440537517350273,1.9
7.0,0.25,0.7,8,0.07405446996046784,1.9
7.0,0.25,1.0,8,0.07617263163433424,1.9
7.0,0.25,1.5,6,0.07645917835277637,1.9
7.0,0.25,3.0,9,0.07677236773741009,1.9
7.0,0.25,10.0,16,0.09613349796804023,1.9
10.0,0.07,0.1,155,0.1882526748364869,1.9
10.0,0.07,0.7,112,0.053816145825728655,1.9
10.0,0.07,1.0,113,0.06932125476010186,1.9
10.0,0.07,1.5,107,0.067434558421131,1.9
10.0,0.07,3.0,115,0.05981199274829592,1.9
10.0,0.07,10.0,115,0.07199236121315869,1.9
10.0,0.10600000000000001,0.1,139,0.1865344978385422,1.9
10.0,0.10600000000000001,0.7,49,0.06002677329594553,1.9
10.0,0.10600000000000001,1.0,50,0.07252811663800479,1.9
10.0,0.10600000000000001,1.5,51,0.06141511412421202,1.9
10.0,0.10600000000000001,3.0,54,0.04775296095744206,1.9
10.0,0.10600000000000001,10.0,52,0.0447160313740069,1.9
10.0,0.14200000000000002,0.1,134,0.16144717000557332,1.9
10.0,0.14200000000000002,0.7,33,0.027103356541551448,1.9
10.0,0.14200000000000002,1.0,34,0.029401205106041394,1.9
10.0,0.14200000000000002,1.5,38,0.030519506547727587,1.9
10.0,0.14200000000000002,3.0,46,0.04080180104169189,1.9
10.0,0.14200000000000002,10.0,44,0.040982803270599985,1.9
10.0,0.178,0.1,103,0.15541447568954303,1.9
10.0,0.178,0.7,18,0.03599058433161077,1.9
10.0,0.178,1.0,18,0.03842953883813563,1.9
10.0,0.178,1.5,19,0.03658108284745837,1.9
10.0,0.178,3.0,20,0.04140104266066345,1.9
10.0,0.178,10.0,25,0.05051909886400698,1.9
10.0,0.214,0.1,78,0.161452940005056,1.9
10.0,0.214,0.7,11,0.061039701950976306,1.9
10.0,0.214,1.0,12,0.06001444068602586,1.9
10.0,0.214,1.5,9,0.06246344896585986,1.9
10.0,0.214,3.0,10,0.05662962490368381,1.9
10.0,0.214,10.0,17,0.0734026877257937,1.9
10.0,0.25,0.1,51,0.1687375152173483,1.9
10.0,0.25,0.7,8,0.07405446996046784,1.9
10.0,0.25,1.0,8,0.07617263163433424,1.9
10.0,0.25,1.5,6,0.07645917835277637,1.9
10.0,0.25,3.0,9,0.07677236773741009,1.9
10.0,0.25,10.0,16,0.09613349796804023,1.9
